Ref,Priority,SOW clause,What we need,Our current assumption,Assumption confirmed? (C/X),Your answer,Owner,Target date,Attachment,Status
B10,3 - Part B,§5,"Which of the thirteen §5 alarm fields are essential for phase 1; does a root-cause / corrective-action knowledge base (SOPs, troubleshooting guides, service checklists) already exist?","The full thirteen-field schema is built but populated progressively, with Ion Exchange supplying the engineering content over time.",,,,,,
B11,3 - Part B,"§5, §6",Notification channels and any corporate gateway; recipients by role/site/severity; existing escalation matrix; SLA targets and how they vary; closure approval levels.,"Email and in-app notification first, SMS and WhatsApp later, sent through our own service rather than a corporate gateway.",,,,,,
B12,3 - Part B,"§6, §10","Existing CMMS/EAM, ERP, historian or data lake: which product, feed or replace, push or pull, system owner and integration contact.","PROPOSED PHASING (not an assumption): §10 names all four as integration targets and the framework supports them. We propose no connector is built in phase 1, because a connector is built against a specific product and we do not yet know which are present.",,,,,,
B13,3 - Part B,§12,SSO identity provider; where MFA is enforced; which cybersecurity standards 'applicable' means; who defines user roles; security questionnaire or policy document if one exists.,"PROPOSED PHASING (not an assumption): SSO to your identity provider with MFA enforced there. Every §12 control is implemented; what is not assumed into phase 1 is a third-party certification audit (ISO 27001, IEC 62443, SOC 2), which is a separate exercise.",,,,,,
B14,3 - Part B,§7,Energy tariff (Rs/kWh) and water/effluent cost (Rs/kL) and their structure; carbon factors; savings baseline; definitions (numerator and denominator) of Water Recycle % and Operational Efficiency %.,"Tariffs, carbon factors and baselines are configuration supplied by Ion Exchange rather than values we derive; savings measured against a commissioning benchmark.",,,,,,
B15,3 - Part B,§4.3,Where maintenance records live and whether they are digital; source of environmental data; availability of historical telemetry for backfill and model training.,"PROPOSED PHASING (not an assumption): §4.3 names five input classes. We propose the score is commissioned on live telemetry first, with the other inputs folded in as each source becomes available. No historical data is assumed available to backfill.",,,,,,
B16,3 - Part B,—,"Is two-year raw telemetry retention sufficient? Any statutory reporting or real-time submission to SPCB/CPCB or to end customers, and in what format and schedule?",Two years of raw telemetry is sufficient and there is no statutory reporting or real-time submission obligation.,,,,,,
C17,4 - Part C,"§3, §4.1","Confirm or correct internal product names (INDION FMR, NGPSTP, Eco MBR, and the RO / DM / softener range) and their customer-facing spelling.","The product names we have used are researched, not verified.",,,,,,
C18a,4 - Part C,pp. 9-10,"Is the dark canvas of the reference dashboards a requirement, or is the layout the point being made?",The light palette of the approved mockups is retained.,,,,,,
C18b,4 - Part C,pp. 9-10,"Is per-domain navigation expected? Are STP and ETP plant types within Water, or top-level peers of Electrical?",Navigation stays grouped by function rather than by domain.,,,,,,
C18c,4 - Part C,pp. 9-10,"What should the 'Data Quality %' indicator measure: sensor freshness, ingest completeness, or an existing reported measure?",None held.,,,,,,
C19,4 - Part C,§9,Which of the six stakeholder groups exist at first deployment; named reviewer for each; preferred default landing screen per role.,"Executive Management, Plant Operations and Maintenance are the personas present at first deployment; the other three follow.",,,,,,
C20,4 - Part C,§8,Confirm instrumentation is integration scope with supply and installation on the project side; provide the fitment schedule.,Instrumentation supply and installation sit on the project/procurement side; our scope is integration with what is fitted.,,,,,,
C21a,4 - Part C,§13,Environments required (development / UAT / production) and who hosts each.,NO ASSUMPTION MADE - needs agreement.,,,,,,
C21b,4 - Part C,§13,"UAT process, sign-off authority and acceptance criteria; whether a phase-1 scope freeze should be recorded.",NO ASSUMPTION MADE - needs agreement.,,,,,,
C21c,4 - Part C,§13,"Training audiences (operators, maintenance, administrators, Ion Exchange engineering), format and headcount.",NO ASSUMPTION MADE - needs agreement.,,,,,,
C21d,4 - Part C,§13,"Support hours, response and uptime expectations, warranty period after go-live.",NO ASSUMPTION MADE - needs agreement; not priced or planned.,,,,,,
C21e,4 - Part C,§13,"Named single point of contact with decision authority, and UAT owner.",None held.,,,,,,
C21f,4 - Part C,§13,Date of the next review.,None held.,,,,,,
C22a,4 - Part C,§3,"Site list and hierarchy for phase 1 (organisation to site to plant to asset), provisional is fine.",The hierarchy is organisation to site to plant to asset.,,,,,,
C22b,4 - Part C,—,"Brand assets (logo, colours) and how TRINETRA and Ion Exchange are co-presented in the header and on reports.",TRINETRA is presented as the platform with Ion Exchange branding alongside.,,,,,,
NEW-1,5 - Raised by Ion Exchange,,"(Anything not covered above: requirement, constraint, deadline or existing system.)",,,,,,,
NEW-2,5 - Raised by Ion Exchange,,,,,,,,,
NEW-3,5 - Raised by Ion Exchange,,,,,,,,,
