Client Req ID,Client Requirement,Sub-Feature,As-Is Status,Exists,Partial,Missing,As-Is Coverage %,Quality (0-10),Client Priority,Gap Effort Min (pw),Gap Effort Max (pw),Delivery Phase,Evidence / Notes,Zoho Matrix Reference
6,Tag mapping customer to system,Bulk mapping editor,,,,Yes,0,0,P1,2,3,A,One-at-a-time admin,—
6,Tag mapping customer to system,Excel mapping sheet import,,,Yes,Missing,20,4,P1,2,3,A,Excel covers location RTU asset only ADR 0013,Device Management - bulk import
6,Tag mapping customer to system,Auto-map from sample payload,,,,Yes,0,0,P2,3,4,A,Message formatter not implemented,Device Models - message handler
7,Calculations derived analytics ML vision,Simple derived C equals A plus B,,,,Yes,0,0,P0,4,5,C,No formula engine,Device Models - computed datapoints
7,Calculations derived analytics ML vision,User-configurable formula DSL,,,,Yes,0,0,P0,4,5,C,Hardcoded PUE in dashboard SQL,—
7,Calculations derived analytics ML vision,Scheduled KPI calculations,,,,Yes,0,0,P1,3,4,C,No cron calc evaluator,Device Models - scheduled KPI
7,Calculations derived analytics ML vision,Stream-time calc on ingest,,,,Yes,0,0,P0,3,4,C,No calc worker,Edge Computing - edge data flow
7,Calculations derived analytics ML vision,ML multivariate time-series analytics,,,,Yes,0,0,P2,20,30,D,Deferred AGENTS.md,AI Features - anomaly detection
7,Calculations derived analytics ML vision,Vision / image analytics,,,,Yes,0,0,P3,16,24,D,No image pipeline,AI Features
7,Calculations derived analytics ML vision,Rule engine as threshold substitute,Partial,,Yes,,15,3,P2,0,0,—,Evaluate-only not calc,Rule Engine
8,Configurable dashboards,Charts ECharts,Implemented,Yes,,,100,7,P0,0,0,—,Executive energy location pages,Dashboards - charts
8,Configurable dashboards,KPI cards and ribbons,Implemented,Yes,,,100,7,P0,0,0,—,KPI ribbon location cards,Dashboards - KPI
8,Configurable dashboards,Maps Leaflet,Implemented,Yes,,,100,7,P1,0,0,—,World map,Dashboards - maps
8,Configurable dashboards,Tables and status views,Implemented,Yes,,,100,7,P1,0,0,—,Alarms work orders,Dashboards - tables
8,Configurable dashboards,Control-room SVG schematics,Implemented,Yes,,,100,8,P1,0,0,—,BMS differentiator vs Zoho,Dashboards - image layout
8,Configurable dashboards,User drag-drop dashboard builder,,,,Yes,0,0,P0,8,10,C,Fixed React routes,Dashboards - drag-drop builder
8,Configurable dashboards,Dashboard definition persistence,,,,Yes,0,0,P0,2,3,C,No dashboard JSON schema,Dashboards - custom dashboards
8,Configurable dashboards,Widget palette 5+ types for builder,Partial,,Yes,,20,3,P0,4,6,C,Charts exist not composable,Dashboards - 20+ widgets
8,Configurable dashboards,Per-template default dashboard,,,,Yes,0,0,P1,3,4,C,Depends on asset templates,Dashboards - overview dashboard template
8,Configurable dashboards,Role-based saved views,Partial,,Yes,,30,5,P2,3,4,C,Asset-group guards only,Dashboards - role based
9,Calculation setup and configuration,Calc definition admin UI,,,,Yes,0,0,P0,4,5,C,No calc editor,—
9,Calculation setup and configuration,Link calcs to template tags,,,,Yes,0,0,P0,3,4,C,Depends on req 5,Device Models
9,Calculation setup and configuration,Calc execution scheduler,,,,Yes,0,0,P1,3,4,C,No job queue,Automation - scheduled jobs
9,Calculation setup and configuration,Calc versioning and audit,,,,Yes,0,0,P2,2,3,C,audit_log exists not for calcs,Security - audit logs
9,Calculation setup and configuration,Test/preview calc before publish,,,,Yes,0,0,P1,2,3,C,Rule preview exists not calcs,Rule Engine - preview
