Module,Zoho Feature,Zoho Doc Reference,Exists in BMS,Partial,Missing,Quality Score (0-10),Priority,Complexity,Estimated Effort (pw),Phase,Notes
Reports,Scheduled reports,KB - Reports,,,Yes,0,High,Medium,4-6,3,Not implemented
Reports,CSV export,KB - Reports,Yes,,,6,—,Low,0,—,Energy CSV only
Reports,PDF export,KB - Reports,,,Yes,0,Medium,Medium,4-6,3,Deferred Sprint F
Reports,Excel export,KB - Reports,,,Yes,0,Medium,Medium,4-6,3,Not implemented
Reports,Matrix / aggregation reports,KB - Reports,,Yes,,4,Medium,Medium,4-6,3,Energy preview partial
Reports,Datapoint aggregation API,Developer API,,Yes,,5,High,Medium,3-4,2,Dashboard SQL not exposed as API
Reports,Report history / storage,KB - Reports,,,Yes,0,Low,Medium,4-6,4,Sprint F skipped
Alarm Engine,Configurable alarm rules UI,KB - Alarms,,Yes,,4,Critical,Medium,4-6,1,Split from hardcoded service
Alarm Engine,Model-level alarm templates,KB - Alarms,,,Yes,0,High,Medium,4,2,Not implemented
Alarm Engine,Threshold + hysteresis,KB - Alarms,,Yes,,4,High,Low,2-3,1,Threshold only
Alarm Engine,Acknowledgement,KB - Alarms,Yes,,,7,—,Low,0,—,POST /alarms/:id/ack
Alarm Engine,Escalation,KB - Alarms,,,Yes,0,High,Medium,4-6,3,Not implemented
Alarm Engine,Alarm history,KB - Alarms,Yes,,,6,—,Low,0,—,Keyset paginated list
Alarm Engine,Alarm suppression,KB - Alarms,,,Yes,0,High,Medium,3-4,3,Not implemented
Alarm Engine,Maintenance mode,KB - Alarms,,,Yes,0,High,Medium,3-4,3,Not implemented
Alarm Engine,Auto-clear on normal,KB - Alarms,,,Yes,0,High,Medium,2-3,1,Open alarms persist
Alarm Engine,Priorities / severities,KB - Alarms,Yes,,,6,—,Low,0,—,critical/warning/info
Alarm Engine,Geofence / KPI alarms,KB - Alarms,,,Yes,0,Low,High,6-8,4,Not implemented
Alarm Engine,Real-time WS broadcast,KB - Alarms,Yes,,,7,—,Low,0,—,/ws/alarms
Alarm Engine,Alarm → work order link,KB - Alarms,Yes,,,7,—,Low,0,—,work_orders.alarm_id
Rule Engine,IF/THEN threshold rules,KB - Rules Engine,Yes,,,6,—,Medium,0,—,automation_rules table
Rule Engine,Time-window rules,KB - Rules Engine,Yes,,,6,—,Medium,0,—,ruleType time_window
Rule Engine,Visual rule builder,KB - Rules Engine,Yes,,,7,—,Medium,0,—,rule-builder-panel.tsx
Rule Engine,Rule lifecycle draft/publish,KB - Rules Engine,Yes,,,7,—,Medium,0,—,Full CRUD + lifecycle
Rule Engine,Action execution notify/command,KB - Workflows,,Yes,,2,Critical,Medium,6-8,1,Stored not executed
Rule Engine,Scheduled/cron evaluation,KB - Schedules,,,Yes,0,High,Medium,4-6,2,Manual evaluate only
Rule Engine,Event-triggered on telemetry,KB - Rules Engine,,Yes,,3,High,Medium,4,2,AlarmThreshold separate path
Rule Engine,Workflow chains,KB - Workflows,,,Yes,0,Medium,High,8-10,3,Not implemented
Rule Engine,Deluge / custom functions,KB - Custom Functions,,,Yes,0,Medium,High,8+,4,Not implemented
Rule Engine,Expressions,KB - Rules Engine,,Yes,,4,Medium,Medium,4,3,Simple operators only
Automation,Work orders module,KB - Work Orders,Yes,,,7,—,Medium,0,—,Kanban UI + API
Automation,Maintenance schedules,KB - Schedules,Yes,,,7,—,Medium,0,—,Schedule Centre
Automation,Workflow engine,KB - Workflows,,,Yes,0,Medium,High,8-10,3,Not implemented
Automation,Scripting,KB - Custom Functions,,,Yes,0,Medium,High,8+,4,Not implemented
Automation,Scheduled jobs,KB - Schedules,,,Yes,0,High,Medium,4-6,2,Not implemented
Automation,Command execution,KB - Commands,,,Yes,0,Critical,High,8-10,2,Explicitly deferred
Notifications,Email,KB - Email,,,Yes,0,Critical,Medium,3-4,1,Not implemented
Notifications,SMS,KB - Notifications,,,Yes,0,Medium,Medium,4-6,3,Not implemented
Notifications,WhatsApp,KB - Notifications,,,Yes,0,Low,Medium,4,4,Not implemented
Notifications,Push notifications,KB - Push Notifications,,,Yes,0,Medium,High,6-8,4,Not implemented
Notifications,Microsoft Teams,KB - Integrations,,,Yes,0,Low,Medium,2-3,4,Not implemented
Notifications,Slack,KB - Integrations,,,Yes,0,Low,Medium,2-3,4,Not implemented
Notifications,Telegram,KB - Integrations,,,Yes,0,Low,Medium,2-3,4,Not implemented
Notifications,Webhooks,KB - Webhooks,,,Yes,0,High,Medium,3-4,1,Not implemented
Notifications,Escalation profiles,KB - Notification profiles,,,Yes,0,High,Medium,4-6,3,Not implemented
Notifications,In-app WebSocket only,—,,Yes,,4,—,Low,0,—,Alarms WS only
Remote Commands,Command queue,KB - Commands,,,Yes,0,Critical,High,8-10,2,Not implemented
Remote Commands,Acknowledgement,KB - Commands,,,Yes,0,Critical,High,4-6,2,Not implemented
Remote Commands,Retry / timeout,KB - Commands,,,Yes,0,Critical,Medium,3-4,2,Not implemented
Remote Commands,Command scheduling,KB - Commands,,,Yes,0,Medium,Medium,3-4,3,Not implemented
Remote Commands,MQTT downlink,KB - MQTT,,,Yes,0,Critical,Medium,4-6,2,Not implemented
Remote Commands,Disabled UI stubs,—,,Yes,,2,—,Low,0,—,DisabledCommandButton
Firmware Management,OTA updates,KB - Devices / OTA,,,Yes,0,Medium,High,10+,4,Not implemented
Firmware Management,Versioning,KB - OTA,,,Yes,0,Medium,High,4-6,4,Not implemented
Firmware Management,Staged rollout,KB - OTA,,,Yes,0,Medium,High,6-8,4,Not implemented
Firmware Management,Rollback,KB - OTA,,,Yes,0,Medium,High,4-6,4,Not implemented
Security,RBAC,KB - Users & Roles,Yes,,,6,—,Medium,0,—,Role + location/asset-group scope
Security,MFA,KB - Authentication,,,Yes,0,High,Medium,3-4,3,Keycloak capable not enabled
Security,OAuth 2.0,Developer API,,Yes,,6,—,Medium,0,—,Keycloak OIDC
Security,JWT local dev,—,Yes,,,5,—,Low,0,—,POST /auth/login fallback
Security,API keys,Developer API,,,Yes,0,High,Medium,4-6,3,Not implemented
Security,Device X.509 certificates,KB - Security,,,Yes,0,Medium,High,6-8,3,Not implemented
Security,SSL/TLS encryption,KB - Security,Yes,,,7,—,Low,0,—,MQTT TLS + HTTPS deploy
Security,Audit logs write,KB - Audit,Yes,,,5,—,Low,0,—,bms.audit_log
Security,Audit logs read API,KB - Audit,,,Yes,0,High,Low,2-3,3,Not implemented
Security,Password policies,KB - Security,,Yes,,4,Medium,Low,2,3,Keycloak realm only
Security,Field-level encryption,KB - Security,,,Yes,0,Low,Medium,4,4,Not implemented
Security,Row-level security,KB - Security,,,Yes,0,Medium,High,6-8,3,App-level scoping only
Security,SOC2/ISO compliance story,KB - Security,,,Yes,0,Low,—,—,4,Marketing only on Zoho side
User Management,User CRUD API,KB - Users & Roles,,,Yes,0,High,Medium,4-6,3,Seed + Keycloak only
User Management,Roles and permissions,KB - Users & Roles,Yes,,,6,—,Medium,0,—,5 roles in Keycloak realm
User Management,Organizations / tenants,KB - Portals,,Yes,,4,Medium,Medium,6-8,3,Orgs catalog not RBAC boundary
User Management,Data slicing location rules,KB - Data Slicing,Yes,,,6,—,Medium,0,—,user_location_access
User Management,Data slicing module rules,KB - Data Slicing,,Yes,,4,Medium,Medium,3-4,3,Asset groups partial
User Management,User groups,KB - Users & Roles,,,Yes,0,Medium,Low,2-3,3,Not implemented
User Management,Client portal MSP model,KB - Portals,,,Yes,0,Low,High,12+,4,Not implemented
Integrations,REST API,Developer API,Yes,,,6,—,Medium,0,—,/api/v1 endpoints
Integrations,GraphQL,Developer API,,,Yes,0,Low,Medium,6-8,4,Not implemented
Integrations,Webhooks outbound,KB - Webhooks,,,Yes,0,High,Medium,3-4,1,Not implemented
Integrations,CRM integration,KB - CRM Integration,,,Yes,0,Low,High,8+,4,Not implemented
Integrations,ERP / SCADA / SAP,KB - Integrations,,,Yes,0,Low,High,8+,4,Not implemented
Integrations,Azure / AWS / Google cloud,KB - Integrations,,,Yes,0,Low,High,8+,4,Azure SQL catalog export only
Integrations,Power BI / Grafana,KB - Integrations,,Yes,,4,Medium,Medium,4,3,External Grafana observability profile
Integrations,OpenAPI / Swagger,Developer API,,,Yes,0,High,Low,2-3,1,Not implemented
Integrations,Rate limiting,Developer API,,,Yes,0,Medium,Low,2,2,Not implemented
AI Features,Anomaly detection,KB - AI Features,,,Yes,0,Medium,High,10+,4,Not implemented
AI Features,Predictive maintenance,KB - AI Features,,,Yes,0,Medium,High,10+,4,Not implemented
AI Features,Forecasting,KB - Analytics,,,Yes,0,Low,High,8+,4,Not implemented
AI Features,AI insights / recommendations,KB - AI Features,,,Yes,0,Low,High,8+,4,Not implemented
AI Features,LLM integration,—,,,Yes,0,Low,High,8+,4,Explicitly deferred AGENTS.md
Mobile Features,Android app,KB - Mobile,,,Yes,0,Medium,High,16+,4,Not implemented
Mobile Features,iOS app,KB - Mobile,,,Yes,0,Medium,High,16+,4,Not implemented
Mobile Features,Offline mode,KB - Mobile,,,Yes,0,Low,High,8+,4,Not implemented
Mobile Features,Push notifications mobile,KB - Mobile,,,Yes,0,Medium,High,6-8,4,Not implemented
Mobile Features,Maps on mobile,KB - Mobile,,,Yes,0,Low,Medium,4-6,4,Not implemented
Analytics,Trends / KPIs,KB - Analytics,Yes,,,6,—,Medium,0,—,Executive + energy dashboards
Analytics,OEE monitoring,IIoT solution,,,Yes,0,Low,Medium,4-6,4,Not implemented
Analytics,Energy analytics,Energy Management,Yes,,,6,—,Medium,0,—,Energy Centre + CSV reports
Analytics,Utilization,KB - Analytics,,Yes,,4,Medium,Medium,4,3,Partial via load trend
Analytics,Predictive analytics,KB - AI Features,,,Yes,0,Medium,High,10+,4,Not implemented
Analytics,Data Explorer debug UI,KB - Data Explorer,,,Yes,0,Medium,Medium,4-6,3,Not implemented
Administration,Configuration management,KB - Administration,,Yes,,5,Medium,Medium,4,2,Env + compose only
Administration,Backups / restore,KB - Administration,,,Yes,0,High,Medium,3-4,3,Not automated
Administration,Audit read/export,KB - Audit,,,Yes,0,High,Low,2-3,3,Write-only today
Administration,Logs / diagnostics,KB - Monitoring,,Yes,,5,Medium,Medium,3,2,Pino + optional Loki
Administration,Monitoring Prometheus,KB - Monitoring,,Yes,,5,—,Medium,0,—,Optional observability profile
Administration,Billing / licensing,KB - Billing,N/A,,N/A,—,—,—,—,Self-hosted; N/A vs Zoho SaaS
Developer Experience,SDKs C/Python/Node,Developer Features,,,Yes,0,Medium,High,8+,4,Not implemented
Developer Experience,REST API docs,Developer API,,Yes,,5,High,Low,2-3,1,No Swagger
Developer Experience,Postman collection,Developer API,,,Yes,0,Low,Low,1-2,3,Not published
Developer Experience,API versioning,Developer API,Yes,,,6,—,Low,0,—,/api/v1 prefix
Developer Experience,Testing examples,Developer Features,,Yes,,4,Medium,Medium,3,2,Some spec files exist
DevOps,Docker,Deployment,Yes,,,6,—,Low,0,—,Multi-profile compose
DevOps,Kubernetes,Deployment,,,Yes,0,High,High,12-16,3,Not in repo
DevOps,CI/CD GitHub Actions,—,Yes,,,6,—,Low,0,—,.github/workflows/ci.yml
DevOps,Observability stack,KB - Monitoring,,Yes,,5,—,Medium,0,—,Prometheus Grafana Loki optional
DevOps,Health checks,—,Yes,,,6,—,Low,0,—,GET /health + metrics
DevOps,OpenTelemetry tracing,—,Yes,,,5,—,Medium,0,—,Bootstrap in api main.ts
